sym,date,open,high,low,close,volume,pct
a,2020-01-20,11652,11740,11400,11644,10797089,-0.06
a,2020-01-21,11050,11399,11028,11085,27763285,-4.8
a,2020-01-22,11000,11347,10950,11261,10419374,1.59
a,2020-01-25,11498,11498,11124,11306,13079928,0.4
a,2020-01-26,11369,11369,10870,10960,15739141,-3.06
a,2020-01-27,10851,11011,10645,10899,9234279,-0.56
a,2020-01-28,10900,11200,10799,10980,15939390,0.74
a,2020-02-01,11160,11498,10983,11070,35650332,0.82
a,2020-02-02,11179,11179,10750,10890,13602689,-1.63
a,2020-02-03,11000,11170,10908,10916,36621644,0.24
a,2020-02-04,11093,11410,10952,10990,26254891,0.68
a,2020-02-05,11030,11646,11030,11646,67416374,5.97
a,2020-02-08,12117,12117,11797,12117,119858777,4.04
a,2020-02-09,12050,12200,11540,11740,34858461,-3.11
a,2020-02-10,11740,11740,11286,11290,22677246,-3.83
a,2020-02-12,11420,11611,11151,11200,15629554,-0.8
a,2020-02-15,11350,11880,10870,11624,38237712,3.79
a,2020-02-16,11739,11931,11510,11931,53696842,2.64
a,2020-02-17,12188,12188,11350,11560,24967855,-3.11
a,2020-02-18,11530,11714,11129,11360,24324542,-1.73
a,2020-02-19,11252,11700,11252,11445,22854616,0.75
a,2020-02-22,10955,11899,10955,11700,25017607,2.23
a,2020-02-23,11800,11890,11580,11649,28099165,-0.44
a,2020-02-24,11652,11790,11401,11535,34335252,-0.98
a,2020-02-25,11600,11750,11410,11733,29864051,1.72
a,2020-02-26,11795,11937,11699,11768,34738924,0.3
a,2020-02-29,11312,11560,11241,11241,12997597,-4.48
a,2020-03-01,11030,11490,11030,11240,24228530,-0.01
a,2020-03-02,11499,11650,11200,11399,27400121,1.41
a,2020-03-03,11566,11718,11446,11674,34018712,2.41
a,2020-03-04,11828,12160,11660,11700,129118096,0.22
a,2020-03-07,11600,11950,11468,11468,30894450,-1.98
a,2020-03-09,10977,10977,10977,10977,4216481,-4.28
a,2020-03-10,10744,10744,10744,10744,3251323,-2.12
a,2020-03-11,10600,10794,10568,10568,39107137,-1.64
a,2020-03-14,10256,10370,10098,10098,15940039,-4.45
a,2020-03-15,9670,10167,9661,10020,40120637,-0.77
a,2020-03-16,9890,10230,9769,9799,51010462,-2.21
a,2020-03-17,9750,9888,9490,9678,51480531,-1.23
a,2020-03-18,9740,9850,9515,9838,25328730,1.65
a,2020-03-24,9730,9730,9176,9176,20045471,-6.73
a,2020-03-25,9055,9550,8851,9424,45375851,2.7
